kmeans_cluster,mean_return,volatility,max_drawdown,avg_volume,rsi,strategy
2,1.8670588743577716e-05,0.021946386203848547,-0.32146980484614385,52966583124.907104,50.87672710416409,HOLD
1,0.0006678309510662767,0.035221057704128304,-0.44453746936336075,6400185489.598361,50.534619105921344,SWING
0,-0.0019325343402888382,0.050069886251816235,-0.6675066872150963,922042283.2613335,44.688911096647786,SCALPING
